id,name,height,weight,base_experience,types,abilities,moves
1,bulbasaur,7,69,64,"grass, poison","chlorophyll, overgrow","acid-spray, amnesia, attract, bide, bind, body-slam, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frustration, fury-cutter, giga-drain, grass-knot, grass-pledge, grass-whistle, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-dance, poison-powder, power-whip, protect, rage, razor-leaf, razor-wind, reflect, rest, return, rock-smash, round, safeguard, secret-power, seed-bomb, skull-bash, sleep-powder, sleep-talk, sludge, sludge-bomb, snore, solar-beam, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
2,ivysaur,10,130,142,"grass, poison","chlorophyll, overgrow","acid-spray, amnesia, attract, bide, bind, body-slam, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frustration, fury-cutter, giga-drain, grass-knot, grass-pledge, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-dance, poison-powder, power-whip, protect, rage, razor-leaf, reflect, rest, return, roar, rock-smash, round, safeguard, secret-power, seed-bomb, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
3,venusaur,20,1000,263,"grass, poison","chlorophyll, overgrow","acid-spray, amnesia, attract, bide, bind, block, body-slam, bulldoze, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, earth-power, earthquake, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frenzy-plant, frustration, fury-cutter, giga-drain, giga-impact, grass-knot, grass-pledge, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, hyper-beam, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-blizzard, petal-dance, poison-jab, poison-powder, power-whip, protect, rage, razor-leaf, reflect, rest, return, roar, rock-climb, rock-smash, round, safeguard, scary-face, secret-power, seed-bomb, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, stomping-tantrum, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, terrain-pulse, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
4,charmander,6,85,62,fire,"blaze, solar-power","acrobatics, aerial-ace, air-cutter, ancient-power, attract, beat-up, belly-drum, bide, bite, body-slam, breaking-swipe, brick-break, captivate, confide, counter, crunch, curse, cut, defense-curl, dig, double-edge, double-team, dragon-breath, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dynamic-punch, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, flame-burst, flame-charge, flamethrower, flare-blitz, fling, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, growl, headbutt, heat-wave, helping-hand, hidden-power, hone-claws, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, natural-gift, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, round, scary-face, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smokescreen, snore, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, take-down, temper-flare, tera-blast, thunder-punch, toxic, weather-ball, will-o-wisp, wing-attack, work-up"
5,charmeleon,11,190,142,fire,"blaze, solar-power","acrobatics, aerial-ace, ancient-power, attract, beat-up, belly-drum, bide, bite, body-slam, breaking-swipe, brick-break, captivate, confide, counter, crunch, curse, cut, defense-curl, dig, double-edge, double-team, dragon-breath, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dynamic-punch, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, flame-burst, flame-charge, flamethrower, flare-blitz, fling, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, growl, headbutt, heat-wave, helping-hand, hidden-power, hone-claws, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, natural-gift, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, round, scary-face, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smokescreen, snore, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, take-down, temper-flare, tera-blast, thunder-punch, toxic, weather-ball, will-o-wisp, work-up"
6,charizard,17,905,267,"fire, flying","blaze, solar-power","acrobatics, aerial-ace, air-cutter, air-slash, ancient-power, attract, beat-up, belly-drum, bide, bite, blast-burn, blaze-kick, body-slam, breaking-swipe, brick-break, brutal-swing, bulldoze, captivate, confide, counter, crunch, curse, cut, defense-curl, defog, dig, double-edge, double-team, dragon-breath, dragon-cheer, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dual-wingbeat, dynamic-punch, earthquake, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, fissure, flame-burst, flame-charge, flamethrower, flare-blitz, fling, fly, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, growl, headbutt, heat-crash, heat-wave, helping-hand, hidden-power, hone-claws, hurricane, hyper-beam, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, mystical-fire, natural-gift, ominous-wind, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, roost, round, sandstorm, scale-shot, scary-face, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, sky-drop, slash, sleep-talk, smokescreen, snore, solar-beam, steel-wing, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, tailwind, take-down, temper-flare, tera-blast, thunder-punch, toxic, twister, weather-ball, will-o-wisp, wing-attack, work-up"
7,squirtle,5,90,63,water,"rain-dish, torrent","aqua-jet, aqua-ring, aqua-tail, attract, aura-sphere, bide, bite, blizzard, body-slam, brick-break, brine, bubble, bubble-beam, captivate, chilling-water, confide, confusion, counter, curse, defense-curl, dig, dive, double-edge, double-team, dragon-pulse, dynamic-punch, endure, facade, fake-out, false-swipe, flail, fling, flip-turn, focus-punch, follow-me, foresight, frustration, gyro-ball, hail, haze, headbutt, helping-hand, hidden-power, hydro-pump, ice-beam, ice-punch, ice-spinner, icy-wind, iron-defense, iron-tail, life-dew, liquidation, mega-kick, mega-punch, mimic, mirror-coat, mist, mud-shot, mud-slap, mud-sport, muddy-water, natural-gift, outrage, power-up-punch, protect, rage, rain-dance, rapid-spin, reflect, refresh, rest, return, rock-slide, rock-smash, rock-tomb, rollout, round, scald, secret-power, seismic-toss, shell-smash, skull-bash, sleep-talk, snore, strength, submission, substitute, surf, swagger, tackle, tail-whip, take-down, tera-blast, toxic, water-gun, water-pledge, water-pulse, water-spout, waterfall, wave-crash, weather-ball, whirlpool, withdraw, work-up, yawn, zen-headbutt"
8,wartortle,10,225,142,water,"rain-dish, torrent","aqua-jet, aqua-ring, aqua-tail, attract, aura-sphere, bide, bite, blizzard, body-slam, brick-break, brine, bubble, bubble-beam, captivate, chilling-water, confide, counter, curse, defense-curl, dig, dive, double-edge, double-team, dragon-pulse, dynamic-punch, endure, facade, fake-out, false-swipe, flail, fling, flip-turn, focus-punch, frustration, gyro-ball, hail, haze, headbutt, helping-hand, hidden-power, hydro-pump, ice-beam, ice-punch, ice-spinner, icy-wind, iron-defense, iron-tail, life-dew, liquidation, mega-kick, mega-punch, mimic, mirror-coat, mist, mud-shot, mud-slap, muddy-water, natural-gift, outrage, power-up-punch, protect, rage, rain-dance, rapid-spin, reflect, rest, return, rock-slide, rock-smash, rock-tomb, rollout, round, scald, secret-power, seismic-toss, shell-smash, skull-bash, sleep-talk, snore, strength, submission, substitute, surf, swagger, tackle, tail-whip, take-down, tera-blast, toxic, water-gun, water-pledge, water-pulse, water-spout, waterfall, wave-crash, weather-ball, whirlpool, withdraw, work-up, yawn, zen-headbutt"
9,blastoise,16,855,265,water,"rain-dish, torrent","aqua-jet, aqua-ring, aqua-tail, attract, aura-sphere, avalanche, bide, bite, blizzard, body-press, body-slam, brick-break, brine, bubble, bubble-beam, bulldoze, captivate, chilling-water, confide, counter, crunch, curse, dark-pulse, defense-curl, dig, dive, double-edge, double-team, dragon-pulse, dragon-tail, dynamic-punch, earthquake, endure, facade, fake-out, false-swipe, fissure, flail, flash-cannon, fling, flip-turn, focus-blast, focus-punch, frustration, giga-impact, gyro-ball, hail, haze, headbutt, helping-hand, hidden-power, hydro-cannon, hydro-pump, hyper-beam, ice-beam, ice-punch, ice-spinner, icy-wind, iron-defense, iron-tail, life-dew, liquidation, mega-kick, mega-punch, mimic, mirror-coat, mist, mud-shot, mud-slap, muddy-water, natural-gift, outrage, power-up-punch, protect, rage, rain-dance, rapid-spin, reflect, rest, return, roar, rock-climb, rock-slide, rock-smash, rock-tomb, rollout, round, scald, scary-face, secret-power, seismic-toss, shell-smash, signal-beam, skull-bash, sleep-talk, smack-down, snore, strength, submission, substitute, surf, swagger, tackle, tail-whip, take-down, tera-blast, terrain-pulse, toxic, water-gun, water-pledge, water-pulse, water-spout, waterfall, wave-crash, weather-ball, whirlpool, withdraw, work-up, yawn, zen-headbutt"
10,caterpie,3,29,39,bug,"run-away, shield-dust","bug-bite, electroweb, snore, string-shot, tackle"
